alias,canonical
Czech Republic,Czechia
Czechia,Czechia
Bosnia & Herzegovina,Bosnia and Herzegovina
Bosnia Herzegovina,Bosnia and Herzegovina
Bosnia and Herzegovina,Bosnia and Herzegovina
Curaçao,Curacao
Curacao,Curacao
DR Congo,DR Congo
Congo DR,DR Congo
Democratic Republic of the Congo,DR Congo
Democratic Republic of Congo,DR Congo
Türkiye,Turkey
Turkiye,Turkey
Turkey,Turkey
USA,United States
United States,United States
United States of America,United States
South Korea,South Korea
Korea Republic,South Korea
Republic of Korea,South Korea
